RID/SID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,,,,,31,,,,,,,,,,,,,,,
2,,,,,,,,32,,,,,,,,,,,,
3,,,,,,,,,,,,,59,,59,,,,,
4,,,,,,48,,"10, 70",,,,,,,,,70,,,
5,,,,,,,,,47,,,,,,,,70,,,
6,,,,,,,,,,36,,,,,,32,,,,
7,,,,,51,,,,,,,,,,,,,,,
8,,32,,,,,,,,,,,,,,,,,,
9,,,,,,,,6,,,28,,66,,,15,,,,
10,,,,40,,,,,,,,,,,,,,,4,
11,,,,,,,,,9,,,,,,,,,,,
12,,,36,,,,,,,25,,56,,,,,,42,62,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,26,,,,,,,
15,,,,,,,41,,,7,,,,,,,,,,20
16,,28,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,46,,,,,,,,
18,,,,,,,8,,,,,63,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,66,
21,41,,,18,,,,,,,,30,,,,,,,,55
22,,,,,,,58,,,,,,,61,,,,,,
23,,,,,,,,,,30,,67,,,,,41,,,
24,,,23,,28,,,66,,,,,,,,,,,,
25,,,,5,,,,,,,,,,,,,,,,
26,,70,18,5,,,,,,,"41, 11",,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,14,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,9,,,,,
32,,,,,,,,20,,,,,,,,,,,,
33,,,,,,,,,,,,61,,,,6,,,,
34,,,,,,13,,,56,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,65,
36,,,,,,,,,,,,,,,17,,,,,
37,,,,,,,,32,,,,,,,,,8,"12, 38",,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,21,,,,"69, 37",,,,,
40,,,,,,,,,,,,,,,,,,41,,
41,,,,,,,31,,,,,,,,,,,,,36
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,42,,,,,
45,,,,,,,,,,,,,,,27,,,,,
46,51,36,,,,,,,,20,,,,,,,,,,
